word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
commendation,n.,a notice of approval or recognition,"Jared received a commendation from Linda, his supervisor, for his stellar performance.","Jared received a ____________ from Linda, his supervisor, for his stellar performance.",,,,,,,
commensurate,adj.,corresponding in size or amount,Ahab selected a very long roll and proceeded to prepare a tuna salad sandwich commensurate with his enormous appetite.,Ahab selected a very long roll and proceeded to prepare a tuna salad sandwich ____________ with his enormous appetite.,,,,,,,
commodious,adj.,roomy  C SAT Vocabulary,"Holden invited the three women to join him in the back seat of the taxicab, assuring them that the car was quite commodious.","Holden invited the three women to join him in the back seat of the taxicab, assuring them that the car was quite __________.",,,,,,,
compelling,adj.,"forceful, demanding attention",Eliot’s speech was so compelling that Lenore accepted his proposal on the spot.,Eliot’s speech was so __________ that Lenore accepted his proposal on the spot.,,,,,,,
compensate,v.,to make an appropriate payment for something,Reginald bought Sharona a new dress to compensate her for the one he’d spilled his ice cream on.,Reginald bought Sharona a new dress to __________ her for the one he’d spilled his ice cream on.,,,,,,,
complacency,n.,self-satisfied ignorance of danger,Colin tried to shock his friends out of their complacency by painting a frightening picture of what might happen to them.,Colin tried to shock his friends out of their ___________ by painting a frightening picture of what might happen to them.,,,,,,,
complement,v.,"to complete, make perfect","Ann’s scarf complements her blouse beautifully, making her seem fully dressed even though she isn’t wearing a coat.","Ann’s scarf __________s her blouse beautifully, making her seem fully dressed even though she isn’t wearing a coat.",,,,,,,
compliant,adj.,ready to adapt oneself to another’s wishes,"Sue had very strong opinions about what to do on a first date, and Ted was absolutely compliant.","Sue had very strong opinions about what to do on a first date, and Ted was absolutely _________.",,,,,,,
complicit,adj.,being an accomplice in a wrongful act,"By keeping her daughter’s affair a secret, Maddie became complicit in it.","By keeping her daughter’s affair a secret, Maddie became _________ in it.",,,,,,,
compliment,n.,an expression of esteem or approval  compound 1.  to combine parts  2.  a combination of different parts  3.  a walled area containing a group of buildings,I blushed crimson when Emma gave me a compliment on my new haircut.,I blushed crimson when Emma gave me a __________ on my new haircut.,,,,,,,
comprehensive,adj.,including everything,She sent me a comprehensive list of the ingredients needed to cook rabbit soufflé.,She sent me a _____________ list of the ingredients needed to cook rabbit soufflé.,,,,,,,
compress,v.,"to apply pressure, squeeze together",Lynn compressed her lips into a frown.,Lynn ________ed her lips into a frown.,,,,,,,
compunction,n.,distress caused by feeling guilty,He felt compunction for the shabby way he’d treated her.,He felt ___________ for the shabby way he’d treated her.,,,,,,,
concede,v.,to accept as valid,Andrew had to concede that what his mother said about Diana made sense.,Andrew had to _______ that what his mother said about Diana made sense.,,,,,,,
conciliatory,adj.,"friendly, agreeable  SAT Vocabulary C",I took Amanda’s invitation to dinner as a very conciliatory gesture.,I took Amanda’s invitation to dinner as a very ____________ gesture.,,,,,,,
concise,adj.,brief and direct in expression,"Gordon did not like to waste time, and his instructions to Brenda were nothing if not concise.","Gordon did not like to waste time, and his instructions to Brenda were nothing if not _______.",,,,,,,
concoct,v.,"to fabricate, make up",She concocted the most ridiculous story to explain her absence.,She _______ed the most ridiculous story to explain her absence.,,,,,,,
concomitant,adj.,accompanying in a subordinate fashion,His dislike of hard work carried with it a concomitant lack of funds.,His dislike of hard work carried with it a ___________ lack of funds.,,,,,,,
concord,n.,harmonious agreement,"Julie and Harold began the evening with a disagreement, but ended it in a state of perfect concord.","Julie and Harold began the evening with a disagreement, but ended it in a state of perfect _______.",,,,,,,
condolence,n.,an expression of sympathy in sorrow,Brian lamely offered his condolences on the loss of his sister’s roommate’s cat.,Brian lamely offered his __________s on the loss of his sister’s roommate’s cat.,,,,,,,
condone,v.,"to pardon, deliberately overlook",He refused to condone his brother’s crime.,He refused to _______ his brother’s crime.,,,,,,,
conduit,n.,a pipe or channel through which something passes,The water flowed through the conduit into the container.,The water flowed through the _______ into the container.,,,,,,,
confection,n.,"a sweet, fancy food",We went to the mall food court and purchased a delicious confection.,We went to the mall food court and purchased a delicious __________.,,,,,,,
confidant,n.,a person entrusted with secrets,"Shortly after we met, she became my chief confidant.","Shortly after we met, she became my chief _________.",,,,,,,
conflagration,n.,great fire,The conflagration consumed the entire building.,The _____________ consumed the entire building.,,,,,,,
confluence,n.,a gathering together,A confluence of different factors made tonight the perfect night.,A __________ of different factors made tonight the perfect night.,,,,,,,
conformist,n.,one who behaves the same as others,Julian was such a conformist that he had to wait and see if his friends would do something before he would commit.,Julian was such a __________ that he had to wait and see if his friends would do something before he would commit.,,,,,,,
confound,v.,"to frustrate, confuse",MacGuyver confounded the policemen pursuing him by covering his tracks.,MacGuyver ________ed the policemen pursuing him by covering his tracks.,,,,,,,
congeal,v.,to thicken into a solid,The sauce had congealed into a thick paste.,The sauce had _______ed into a thick paste.,,,,,,,
congenial,adj.,pleasantly agreeable,His congenial manner made him popular wherever he went.,His _________ manner made him popular wherever he went.,,,,,,,
congregation,n.,"a gathering of people, especially for religious services",The priest told the congregation that he would be retiring.,The priest told the ____________ that he would be retiring.,,,,,,,
congruity,n.,the quality of being in agreement  C SAT Vocabulary,Bill and Veronica achieved a perfect congruity of opinion.,Bill and Veronica achieved a perfect _________ of opinion.,,,,,,,
connive,v.,"to plot, scheme",She connived to get me to give up my vacation plans.,She _______d to get me to give up my vacation plans.,,,,,,,
consecrate,v.,to dedicate something to a holy purpose,Arvin consecrated his spare bedroom as a shrine to Christina.,Arvin __________d his spare bedroom as a shrine to Christina.,,,,,,,
consensus,n.,an agreement of opinion,The jury was able to reach a consensus only after days of deliberation.,The jury was able to reach a _________ only after days of deliberation.,,,,,,,
consign,v.,to give something over to another’s care,"Unwillingly, he consigned his mother to a nursing home.","Unwillingly, he _______ed his mother to a nursing home.",,,,,,,
consolation,n.,an act of comforting,Darren found Alexandra’s presence to be a consolation for his suffering.,Darren found Alexandra’s presence to be a ___________ for his suffering.,,,,,,,
consonant,adj.,in harmony,The singers’ consonant voices were beautiful.,The singers’ _________ voices were beautiful.,,,,,,,
constituent,n.,an essential part,The most important constituent of her perfume is something called ambergris.,The most important ___________ of her perfume is something called ambergris.,,,,,,,
constrain,v.,to forcibly restrict,His belief in nonviolence constrained him from taking revenge on his attackers.,His belief in nonviolence _________ed him from taking revenge on his attackers.,,,,,,,
construe,v.,to interpret,He construed her throwing his clothes out the window as a signal that she wanted him to leave.,He ________d her throwing his clothes out the window as a signal that she wanted him to leave.,,,,,,,
consummate,v.,to complete a deal; to complete a marriage ceremony through sexual intercourse,Erica and Donald consummated their agreement in the executive boardroom.,Erica and Donald __________d their agreement in the executive boardroom.,,,,,,,
consumption,n.,the act of consuming,Consumption of intoxicating beverages is not permitted on these premises.,___________ of intoxicating beverages is not permitted on these premises.,,,,,,,
contemporaneous,adj.,existing during the same time,"Though her novels do not feature the themes of Romanticism, Jane Austen’s work was contemporaneous with that of Wordsworth and Byron.","Though her novels do not feature the themes of Romanticism, Jane Austen’s work was _______________ with that of Wordsworth and Byron.",,,,,,,
contentious,adj.,having a tendency to quarrel or dispute,George’s contentious personality made him unpopular with his classmates.,George’s ___________ personality made him unpopular with his classmates.,,,,,,,
contravene,v.,"to contradict, oppose, violate",Edwidge contravened his landlady’s rule against overnight guests.,Edwidge __________d his landlady’s rule against overnight guests.,,,,,,,
contrite,adj.,"penitent, eager to be forgiven",Blake’s contrite behavior made it impossible to stay angry at him.,Blake’s ________ behavior made it impossible to stay angry at him.,,,,,,,
contusion,n.,"bruise, injury  SAT Vocabulary C",The contusions on his face suggested he’d been in a fight.,The _________s on his face suggested he’d been in a fight.,,,,,,,
conundrum,n.,"puzzle, problem",Interpreting Jane’s behavior was a constant conundrum.,Interpreting Jane’s behavior was a constant _________.,,,,,,,
convene,v.,"to call together  convention 1.  an assembly of people  2.  a rule, custom",Jason convened his entire extended family for a discussion.,Jason _______d his entire extended family for a discussion.,,,,,,,
convivial,adj.,"characterized by feasting, drinking, merriment",The restaurant’s convivial atmosphere put me immediately at ease.,The restaurant’s _________ atmosphere put me immediately at ease.,,,,,,,
convoluted,adj.,"intricate, complicated",Grace’s story was so convoluted that I couldn’t follow it.,Grace’s story was so __________ that I couldn’t follow it.,,,,,,,
copious,adj.,"profuse, abundant",Copious amounts of Snapple were imbibed in the cafeteria.,_______ amounts of Snapple were imbibed in the cafeteria.,,,,,,,
cordial,adj.,"warm, affectionate",His cordial greeting melted my anger at once.,His _______ greeting melted my anger at once.,,,,,,,
coronation,n.,the act of crowning,The new king’s coronation occurred the day after his father’s death.,The new king’s __________ occurred the day after his father’s death.,,,,,,,
corpulence,adj.,extreme fatness,"Henry’s corpulence did not make him any less attractive to his charming, svelte wife.","Henry’s __________ did not make him any less attractive to his charming, svelte wife.",,,,,,,
corroborate,v.,to support with evidence,Luke’s seemingly outrageous claim was corroborated by witnesses.,Luke’s seemingly outrageous claim was ___________d by witnesses.,,,,,,,
corrosive,adj.,having the tendency to erode or eat away,The effect of the chemical was highly corrosive.,The effect of the chemical was highly _________.,,,,,,,
cosmopolitan,adj.,"sophisticated, worldly","Lloyd’s education and upbringing were cosmopolitan, so he felt right at home among the powerful and learned.","Lloyd’s education and upbringing were ____________, so he felt right at home among the powerful and learned.",,,,,,,
counteract,v.,"to neutralize, make ineffective  coup 1.  a brilliant, unexpected act  2.  the overthrow of a government and assumption of authority",The antidote counteracted the effect of the poison.,The antidote __________ed the effect of the poison.,,,,,,,
covet,v.,to desire enviously  D SAT Vocabulary,"I coveted Moses’s house, wife, and car.","I _____ed Moses’s house, wife, and car.",,,,,,,
covert,adj.,secretly engaged in,"Nerwin waged a covertcampaign against his enemies, while outwardly appearing to remain friendly.","Nerwin waged a ______campaign against his enemies, while outwardly appearing to remain friendly.",,,,,,,
credulity,n.,readiness to believe,His credulity made him an easy target for con men.,His _________ made him an easy target for con men.,/kɹɪˈdjuːlɪti/,/kɹɪˈdjuːlɪti/,,noun,A willingness to believe in someone or something in the absence of reasonable proof; credulousness.,,
crescendo,n.,a steady increase in intensity or volume,The crescendo of the brass instruments gave the piece a patriotic feel.,The _________ of the brass instruments gave the piece a patriotic feel.,,/kɹəˈʃɛn.dəʊ/; /kɹəˈʃɛn.doʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/crescendo-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/crescendo-us.mp3,noun; verb; adverb,"An instruction to play gradually more loudly, denoted by a long, narrow angle with its apex on the left ( < ), by musicians called a hairpin.; A gradual increase of anything, especially to a dramatic climax.; The climax of a gradual increase.; To increase in intensity; to reach or head for a crescendo.; Gradually increasing in force or loudness.",,
criteria,n.,standards by which something is judged,Among Mrs. Fields’s criteria for good cookies are that they be moist and chewy.,Among Mrs. Fields’s ________ for good cookies are that they be moist and chewy.,,,,,,,
culmination,n.,the climax toward which something progresses,The culmination of the couple’s argument was the decision to divorce.,The ___________ of the couple’s argument was the decision to divorce.,/ˌkʌl.mɪnˈeɪ.ʃən/,/ˌkʌl.mɪnˈeɪ.ʃən/; /ˌkʌlməˈneɪʃən/,,noun,"The attainment of the highest point of altitude reached by a heavenly body; passage across the meridian; transit.; Attainment or arrival at the highest pitch of glory, power, etc.",,
culpable,adj.,deserving blame,"He was culpable of the crime, and was sentenced to perform community service for 75 years.","He was ________ of the crime, and was sentenced to perform community service for 75 years.",,,,,,,
cultivate,v.,"to nurture, improve, refine","At the library, she cultivated her interest in spy novels.","At the library, she _________d her interest in spy novels.",/ˈkʌltɪveɪt/,/ˈkʌltɪveɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/cultivate-us.mp3,verb,"To grow plants, notably crops; To nurture; to foster; to tend.; To turn or stir soil in preparation for planting.",,
cumulative,adj.,"increasing, building upon itself",The cumulative effect of hours spent in the sun was a deep tan.,The __________ effect of hours spent in the sun was a deep tan.,/ˈkjuːmjʊlətɪv/,/ˈkjuːmjʊlətɪv/,,adjective,Incorporating all current and previous data up to the present or at the time of measuring or collating; That is formed by an accumulation of successive additions; That tends to accumulate; Having priority rights to receive a dividend that accrue until paid,,
cunning,adj.,"sly, clever at being deceitful",The general devised a cunning plan to surprise the enemy.,The general devised a _______ plan to surprise the enemy.,/ˈkʌnɪŋ/,/ˈkʌnɪŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/cunning-us.mp3,noun,"Practical knowledge or experience; aptitude in performance; skill, proficiency; dexterity.; Practical skill employed in a secret or crafty manner; craft; artifice; skillful deceit; art or magic.; The disposition to employ one's skill in an artful manner; craftiness; guile; artifice; skill of being cunning, sly, conniving, or deceitful.; The natural wit or instincts of an animal.; Knowledge; learning; special knowledge (sometimes implying occult or magical knowledge).",,
cupidity,n.,"greed, strong desire",His cupidity made him enter the abandoned gold mine despite the obvious dangers.,His ________ made him enter the abandoned gold mine despite the obvious dangers.,/kjuːˈpɪdəti/,/kjuːˈpɪdəti/,https://api.dictionaryapi.dev/media/pronunciations/en/cupidity-uk.mp3,noun,"Extreme greed, especially for wealth.",,
cursory,adj.,brief to the point of being superficial,"Late for the meeting, she cast a cursory glance at the agenda.","Late for the meeting, she cast a _______ glance at the agenda.",/ˈkɵː.sɘ.ɹi/,/ˈkɵː.sɘ.ɹi/; /ˈkɜː.sə.ɹi/; /ˈkɝː.sə.ɹi/,,adjective,Hasty; superficial; careless; Running about; not stationary.,,
curt,adj.,abruptly and rudely short,Her curt reply to my question made me realize that she was upset at me.,Her ____ reply to my question made me realize that she was upset at me.,/kɜːt/,/kɜːt/; /kɝt/,https://api.dictionaryapi.dev/media/pronunciations/en/curt-uk.mp3,verb; adjective,"To cut, cut short, shorten.; Brief or terse, especially to the point of being rude.; Short or concise.",brusque,
curtail,v.,"to lessen, reduce  D","Since losing his job, he had to curtail his spending.","Since losing his job, he had to _______ his spending.",/kɜːˈteɪl/,/kɜːˈteɪl/; /kɚˈteɪl/,https://api.dictionaryapi.dev/media/pronunciations/en/curtail-us.mp3,noun; verb,"A scroll termination, as of a step, etc.; To cut short the tail of an animal; To shorten or abridge the duration of something; to truncate.; To limit or restrict, keep in check.",,
daunting,adj.,"intimidating, causing one to lose courage",He kept delaying the daunting act of asking for a promotion.,He kept delaying the ________ act of asking for a promotion.,/ˈdɔːntɪŋ/,/ˈdɔːntɪŋ/; /ˈdɔntɪŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/daunting-uk.mp3,verb; noun; adjective,"To discourage, intimidate.; To overwhelm.; Present participle of daunt.; Discouraging; inspiring fear.; Intimidatingly impressive; awe-inspiring, overwhelming.; Appearing to be difficult; challenging.",intimidating; unsettling; disconcerting; formidable; unnerving; dismaying; frightening,undaunting
dearth,n.,"a lack, scarcity","An eager reader, she was dismayed by the dearth of classic books at the library.","An eager reader, she was dismayed by the ______ of classic books at the library.",,/dɜːθ/; /dɝθ/,https://api.dictionaryapi.dev/media/pronunciations/en/dearth-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/dearth-us.mp3,noun,A period or condition when food is rare and hence expensive; famine.; (by extension) Scarcity; a lack or short supply.; Dearness; the quality of being rare or costly.,,
debacle,n.,"a disastrous failure, disruption  SAT Vocabulary D",The elaborately designed fireworks show turned into a debacle when the fireworks started firing in random directions.,The elaborately designed fireworks show turned into a _______ when the fireworks started firing in random directions.,,/deɪˈbɑː.kəl/; /deɪˈbɑ.kəl/,https://api.dictionaryapi.dev/media/pronunciations/en/debacle-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/debacle-us.mp3,noun,"An event or enterprise that ends suddenly and disastrously, often with humiliating consequences.; A breaking up of a natural dam, usually made of ice, by a river and the ensuing rush of water.",,
debase,v.,to lower the quality or esteem of something,The large raise that he gave himself debased his motives for running the charity.,The large raise that he gave himself ______d his motives for running the charity.,/dɪˈbeɪs/,/dɪˈbeɪs/,,verb,"To lower in character, quality, or value; to degrade.; To lower in position or rank.; To lower the value of (a currency) by reducing the amount of valuable metal in the coins.",,
debauch,v.,to corrupt by means of sensual pleasures,An endless amount of good wine and cheese debauched the traveler.,An endless amount of good wine and cheese _______ed the traveler.,/dɪˈbɔːt͡ʃ/,/dɪˈbɔːt͡ʃ/,https://api.dictionaryapi.dev/media/pronunciations/en/debauch-au.mp3,noun; verb,An individual act of debauchery.; An orgy.; To morally corrupt (someone); to seduce.; To debase (something); to lower the value of (something).; To indulge in revelry.,,
debunk,v.,to expose the falseness of something,He debunked her claim to be the world’s greatest chess player by defeating her in 18 consecutive matches.,He ______ed her claim to be the world’s greatest chess player by defeating her in 18 consecutive matches.,,/diːˈbʊŋk/; /dɪˈbʌŋk/,https://api.dictionaryapi.dev/media/pronunciations/en/debunk-au.mp3,verb,"To discredit, or expose to ridicule the falsehood or the exaggerated claims of something.",,
decorous,adj.,"socially proper, appropriate",The appreciative guest displayed decorous behavior toward his host.,The appreciative guest displayed ________ behavior toward his host.,/ˈdɛkəɹəs/,/ˈdɛkəɹəs/,,adjective,Marked by proper behavior.,,
decry,v.,to criticize openly,The kind video rental clerk decried the policy of charging customers late fees.,The kind video rental clerk decried the policy of charging customers late fees.,/dɪˈkɹaɪ/,/dɪˈkɹaɪ/,,verb,To denounce as harmful.; To blame for ills.,,
deface,v.,to ruin or injure something’s appearance,The brothers used eggs and shaving cream to deface their neighbor’s mailbox.,The brothers used eggs and shaving cream to ______ their neighbor’s mailbox.,/diːˈfeɪs/,/diːˈfeɪs/,,verb,"To damage or vandalize something, especially a surface, in a visible or conspicuous manner.; To void or devalue; to nullify or degrade the face value of.; (flags) To alter a coat of arms or a flag by adding an element to it.",,
defamatory,adj.,harmful toward another’s reputation,The defamatory gossip spreading about the actor made the public less willing to see the actor’s new movie.,The __________ gossip spreading about the actor made the public less willing to see the actor’s new movie.,,,,,,,
defer,v.,to postpone something; to yield to another’s wisdom,"Ron deferred to Diane, the expert on musical instruments, when he was asked about buying a piano.","Ron _____red to Diane, the expert on musical instruments, when he was asked about buying a piano.",,,,,,,
deferential,adj.,showing respect for another’s authority,His deferential attitude toward her made her more confident in her ability to run the company.,His ___________ attitude toward her made her more confident in her ability to run the company.,,,,,,,
defile,v.,"to make unclean, impure",She defiled the calm of the religious building by playing her banjo.,She ______d the calm of the religious building by playing her banjo.,,,,,,,
deft,adj.,"skillful, capable","Having worked in a bakery for many years, Marcus was a deft bread maker.","Having worked in a bakery for many years, Marcus was a ____ bread maker.",,,,,,,
defunct,adj.,no longer used or existing,They planned to turn the defunct schoolhouse into a community center.,They planned to turn the _______ schoolhouse into a community center.,,,,,,,
delegate,v.,to hand over responsibility for something,The dean delegated the task of finding a new professor to a special hiring committee.,The dean ________d the task of finding a new professor to a special hiring committee.,,,,,,,
deleterious,adj.,harmful,She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.,She experienced the ___________ effects of running a marathon without stretching her muscles enough beforehand.,,,,,,,
deliberate,adj.,"intentional, reflecting careful consideration","Though Mary was quite upset, her actions to resolve the dispute were deliberate.","Though Mary was quite upset, her actions to resolve the dispute were __________.",,,,,,,
delineate,v.,"to describe, outline, shed light on  D SAT Vocabulary",She neatly delineated her reasons for canceling the project’s funding.,She neatly _________d her reasons for canceling the project’s funding.,,,,,,,
demagogue,n.,a leader who appeals to a people’s prejudices,The demagogue strengthened his hold over his people by blaming immigrants for the lack of jobs.,The _________ strengthened his hold over his people by blaming immigrants for the lack of jobs.,,,,,,,
demarcation,n.,the marking of boundaries or categories,Different cultures have different demarcations of good and evil.,Different cultures have different ___________s of good and evil.,,,,,,,
demean,v.,to lower the status or stature of something,She refused to demean her secretary by making him order her lunch.,She refused to ______ her secretary by making him order her lunch.,,,,,,,
demure,adj.,"quiet, modest, reserved","Though everyone else at the party was dancing and going crazy, she remained demure.","Though everyone else at the party was dancing and going crazy, she remained ______.",,,,,,,
denigrate,v.,"to belittle, diminish the opinion of",The company decided that its advertisements would no longer denigrate the company’s competitors.,The company decided that its advertisements would no longer _________ the company’s competitors.,,,,,,,
denounce,v.,to criticize publicly,The senator denounced her opponent as a greedy politician.,The senator ________d her opponent as a greedy politician.,,,,,,,
deplore,v.,"to feel or express sorrow, disapproval",We all deplored the miserable working conditions in the factory.,We all _______d the miserable working conditions in the factory.,,,,,,,
depravity,n.,wickedness,Rumors of the ogre’s depravity made the children afraid to enter the forest.,Rumors of the ogre’s _________ made the children afraid to enter the forest.,,,,,,,
deprecate,v.,"to belittle, depreciate","Always over-modest, he deprecated his contribution to the local charity.","Always over-modest, he _________d his contribution to the local charity.",,,,,,,
derelict,adj.,"abandoned, run-down","Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the derelict house.","Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the ________ house.",,,,,,,
deride,v.,"to laugh at mockingly, scorn",The bullies derided the foreign student’s accent.,The bullies ______d the foreign student’s accent.,,,,,,,
derivative,adj.,"taken directly from a source, unoriginal",She was bored by his music because she felt that it was derivative and that she had heard it before.,She was bored by his music because she felt that it was __________ and that she had heard it before.,,,,,,,
desecrate,v.,to violate the sacredness of a thing or place,They feared that the construction of a golf course would desecrate the preserved wilderness.,They feared that the construction of a golf course would _________ the preserved wilderness.,,,,,,,
desiccated,adj.,"dried up, dehydrated",The skin of the desiccated mummy looked like old paper.,The skin of the __________ mummy looked like old paper.,,,,,,,
desolate,adj.,"deserted, dreary, lifeless  SAT Vocabulary D",She found the desolate landscape quite a contrast to the hustle and bustle of the overcrowded city.,She found the ________ landscape quite a contrast to the hustle and bustle of the overcrowded city.,,,,,,,
despondent,adj.,"feeling depressed, discouraged, hopeless","Having failed the first math test, the despondent child saw no use in studying for the next and failed that one too.","Having failed the first math test, the __________ child saw no use in studying for the next and failed that one too.",,,,,,,
despot,n.,one who has total power and rules brutally,The despot issued a death sentence for anyone who disobeyed his laws.,The ______ issued a death sentence for anyone who disobeyed his laws.,,,,,,,
destitute,adj.,"impoverished, utterly lacking",The hurricane destroyed many homes and left many families destitute.,The hurricane destroyed many homes and left many families _________.,,,,,,,
deter,v.,"to discourage, prevent from doing",Bob’s description of scary snakes couldn’t deter Marcia from traveling in the rainforests.,Bob’s description of scary snakes couldn’t _____ Marcia from traveling in the rainforests.,,,,,,,
devious,adj.,"not straightforward, deceitful","Not wanting to be punished, the devious girl blamed the broken vase on the cat.","Not wanting to be punished, the _______ girl blamed the broken vase on the cat.",,,,,,,
dialect,n.,a variation of a language,"In the country’s remote, mountainous regions, the inhabitants spoke a dialect that the country’s other inhabitants had difficulty understanding.","In the country’s remote, mountainous regions, the inhabitants spoke a _______ that the country’s other inhabitants had difficulty understanding.",,,,,,,
diaphanous,adj.,"light, airy, transparent  didactic 1.  intended to instruct  2.  overly moralistic","Sunlight poured in through the diaphanous curtains, brightening the room.","Sunlight poured in through the __________ curtains, brightening the room.",,,,,,,
diffident,adj.,"shy, quiet, modest  diffuse 1.  to scatter, thin out, break up  2.  not concentrated, scattered, disorganized","While eating dinner with the adults, the diffident youth did not speak for fear of seeming presumptuous.","While eating dinner with the adults, the _________ youth did not speak for fear of seeming presumptuous.",,,,,,,
dilatory,adj.,"tending to delay, causing delay",The general’s dilatory strategy enabled the enemy to regroup.,The general’s ________ strategy enabled the enemy to regroup.,,,,,,,
diligent,adj.,showing care in doing one’s work,The diligent researcher made sure to check her measurements multiple times.,The ________ researcher made sure to check her measurements multiple times.,,,,,,,
diminutive,adj.,small or miniature,"The bullies, tall and strong, picked on the diminutive child.","The bullies, tall and strong, picked on the __________ child.",,,,,,,
dirge,n.,"a mournful song, especially for a funeral  D SAT Vocabulary",The bagpipers played a dirge as the casket was carried to the cemetery.,The bagpipers played a _____ as the casket was carried to the cemetery.,,,,,,,
disaffected,adj.,"rebellious, resentful of authority","Dismayed by Bobby’s poor behavior, the parents sent their disaffected son to a military academy to be disciplined.","Dismayed by Bobby’s poor behavior, the parents sent their ___________ son to a military academy to be disciplined.",,,,,,,
disavow,v.,to deny knowledge of or responsibility for,"Not wanting others to criticize her, she disavowed any involvement in the company’s hiring scandal.","Not wanting others to criticize her, she _______ed any involvement in the company’s hiring scandal.",,,,,,,
discern,v.,"to perceive, detect","Though he hid his emotions, she discerned from his body language that he was angry.","Though he hid his emotions, she _______ed from his body language that he was angry.",,,,,,,
disclose,v.,"to reveal, make public",The CEO disclosed to the press that the company would have to fire several employees.,The CEO ________d to the press that the company would have to fire several employees.,,,,,,,
discomfit,v.,"to thwart, baffle",The normally cheery and playful children’s sudden misery discomfited the teacher.,The normally cheery and playful children’s sudden misery _________ed the teacher.,,,,,,,
discordant,adj.,"not agreeing, not in harmony with",The girls’ sobs were a discordant sound amid the general laughter that filled the restaurant.,The girls’ sobs were a __________ sound amid the general laughter that filled the restaurant.,,,,,,,
discrepancy,n.,"difference, failure of things to correspond",He was troubled by the discrepancy between what he remembered paying for the appliance and what his receipt showed he paid for it.,He was troubled by the ___________ between what he remembered paying for the appliance and what his receipt showed he paid for it.,,,,,,,
discretion,n.,the quality of being reserved in speech or action; good judgment,"Not wanting her patient to get overly anxious, the doctor used discretion in deciding how much to tell the patient about his condition.","Not wanting her patient to get overly anxious, the doctor used __________ in deciding how much to tell the patient about his condition.",,,,,,,
discursive,adj.,"rambling, lacking order  disdain 1.  to scorn, hold in low esteem  2.  scorn, low esteem",The professor’s discursive lectures seemed to be about every subject except the one initially described.,The professor’s __________ lectures seemed to be about every subject except the one initially described.,,,,,,,
disgruntled,adj.,"upset, not content","The child believed that his parents had unjustly grounded him, and remained disgruntled for a week.","The child believed that his parents had unjustly grounded him, and remained ___________ for a week.",,,,,,,
disheartened,adj.,feeling a loss of spirit or morale,The team was disheartened after losing in the finals of the tournament.,The team was ____________ after losing in the finals of the tournament.,,,,,,,
disparage,v.,to criticize or speak ill of,The saleswoman disparaged the competitor’s products to persuade her customers to buy what she was selling.,The saleswoman _________d the competitor’s products to persuade her customers to buy what she was selling.,,,,,,,
disparate,adj.,"sharply differing, containing sharply contrasting elements  SAT Vocabulary D","Having widely varying interests, the students had disparate responses toward the novel.","Having widely varying interests, the students had _________ responses toward the novel.",,,,,,,
dispatch,v.,to send off to accomplish a duty,The carpenter dispatched his assistant to fetch wood.,The carpenter ________ed his assistant to fetch wood.,,,,,,,
dispel,v.,"to drive away, scatter","She entered the office as usual on Monday, dispelling the rumor that she had been fired.","She entered the office as usual on Monday, ______ling the rumor that she had been fired.",,,,,,,
disperse,v.,"to scatter, cause to scatter","When the rain began to pour, the crowd at the baseball game quickly dispersed.","When the rain began to pour, the crowd at the baseball game quickly ________d.",,,,,,,
disrepute,n.,a state of being held in low regard,The officer fell into disrepute after it was learned that he had disobeyed the orders he had given to his own soldiers.,The officer fell into _________ after it was learned that he had disobeyed the orders he had given to his own soldiers.,,,,,,,
dissemble,v.,"to conceal, fake","Not wanting to appear heartlessly greedy, she dissembled and hid her intention to sell her ailing father’s stamp collection.","Not wanting to appear heartlessly greedy, she _________d and hid her intention to sell her ailing father’s stamp collection.",,,,,,,
disseminate,v.,"to spread widely  dissent 1.  to disagree  2.  the act of disagreeing  dissipate 1.  to disappear, cause to disappear  2.  to waste",The politician disseminated his ideas across the town before the election.,The politician ___________d his ideas across the town before the election.,,,,,,,
dissonance,n.,lack of harmony or consistency,"Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking dissonance between her alleged beliefs and her actions.","Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking __________ between her alleged beliefs and her actions.",,,,,,,
dissuade,v.,to persuade someone not to do something,"Worried that he would catch a cold, she tried to dissuade him from going out on winter nights.","Worried that he would catch a cold, she tried to ________ him from going out on winter nights.",,,,,,,
distend,v.,to swell out,Years of drinking beer caused his stomach to distend.,Years of drinking beer caused his stomach to _______.,,,,,,,
